,care,fairness,authority,loyalty,sanctity,entity1,entity2,pub1,pub2
0,0.00014,0.00075,0.00232,0.00199,0.00368,isr,isr,alj,bbc
1,0.52165,0.85003,0.7934,0.654,0.95696,pal,pal,alj,bbc
2,0.90221,0.78681,0.83274,0.99214,0.93847,hamas,hamas,alj,bbc
0,0.2714,0.54608,0.52504,0.38283,0.37955,isr,isr,bbc,alj
1,0.59651,0.4391,0.43589,0.74672,0.58071,pal,pal,bbc,alj
2,0.18712,0.42373,0.43137,0.38032,0.31265,hamas,hamas,bbc,alj
0,0.17664,0.13044,0.2105,0.23819,0.1482,isr,isr,alj,fox
1,0.22977,0.40739,0.25397,0.3503,0.45902,pal,pal,alj,fox
2,0.8582,0.36349,0.51416,0.69721,0.85958,hamas,hamas,alj,fox
0,0.944,0.84086,0.74951,0.79185,0.98983,isr,isr,fox,alj
1,0.91089,0.67489,0.65274,0.7595,0.63519,pal,pal,fox,alj
2,0.38558,0.23868,0.18704,0.28607,0.40197,hamas,hamas,fox,alj
0,0.0051,0.00493,0.00413,0.00695,0.00289,isr,isr,bbc,fox
1,0.00843,0.01337,0.0151,0.00428,0.01647,pal,pal,bbc,fox
2,0.38843,0.22151,0.31064,0.32768,0.27578,hamas,hamas,bbc,fox
0,0.80231,0.99511,0.7553,0.9285,0.99142,isr,isr,fox,bbc
1,0.82346,0.55572,0.87424,0.78557,0.70871,pal,pal,fox,bbc
2,0.96056,0.93704,0.89202,0.87492,0.85651,hamas,hamas,fox,bbc
0,0.03884,0.03856,0.03377,0.03417,0.00492,isr,pal,alj,fox
1,0.60111,0.7013,0.44121,0.68604,0.61636,isr,hamas,alj,fox
2,0.75653,0.82934,0.655,0.64739,0.75043,pal,hamas,alj,fox
0,0.12725,0.27638,0.26055,0.15236,0.28863,isr,pal,fox,alj
1,0.25174,0.76159,0.66086,0.63793,0.45536,isr,hamas,fox,alj
2,0.06015,0.16239,0.23369,0.14027,0.15806,pal,hamas,fox,alj
0,0.72231,0.7749,0.76635,0.98966,0.96226,isr,pal,alj,bbc
1,0.01698,0.01675,0.01537,0.03128,0.01473,isr,hamas,alj,bbc
2,0.00331,0.02121,0.00452,0.00298,0.01497,pal,hamas,alj,bbc
0,0.26655,0.37486,0.41966,0.37333,0.65282,isr,pal,bbc,alj
1,0.52217,0.41587,0.38414,0.46362,0.27942,isr,hamas,bbc,alj
2,0.28305,0.24118,0.19613,0.23216,0.14026,pal,hamas,bbc,alj
0,0.06601,0.0535,0.04635,0.05063,0.04717,isr,pal,bbc,fox
1,0.46323,0.29172,0.35267,0.37306,0.32638,isr,hamas,bbc,fox
2,0.86313,0.7273,0.9384,0.94138,0.97105,pal,hamas,bbc,fox
0,0.79781,0.74607,0.82881,0.90984,0.65457,isr,pal,fox,bbc
1,0.32792,0.51318,0.61023,0.58475,0.36475,isr,hamas,fox,bbc
2,0.88083,0.94979,0.82509,0.81124,0.86086,pal,hamas,fox,bbc
